Hour,Minute,RMSE,MAPE,2014_RMSE,2015_RMSE,2016_RMSE,2017_RMSE,2018_RMSE,2019_RMSE,2020_RMSE,2014_MAPE,2015_MAPE,2016_MAPE,2017_MAPE,2018_MAPE,2019_MAPE,2020_MAPE
12,0,501.38908552276024,0.07386737780138761,441.4294004226665,387.3591540005455,436.12242178081993,452.1209875635839,485.2524138398523,685.5153222553553,696.6114071029153,0.05151897088745178,0.055800436614387494,0.06425338457094028,0.06966233588566885,0.07666050213692006,0.1157782795537318,0.12744890427430933
12,30,587.2848015328605,0.08621553277549211,707.3521871518197,515.0898387923227,539.4802502654472,524.0315612099581,569.695924722488,708.8512809013396,719.196425512869,0.07606518510398404,0.07222575919703261,0.07691979694845096,0.08200068990679042,0.09003961352226851,0.12274876278040744,0.135917467687998
13,0,501.5659408751248,0.07287774919397612,440.2184338073144,435.7540081719885,471.426472375095,448.2528723982671,468.92457493246576,688.5944449663945,636.085259671746,0.05476107240236416,0.06101618377197565,0.06697672677021976,0.06710522334344468,0.07127554723501399,0.11073631049133917,0.11376653127721228
13,30,569.8205224398228,0.08623124487051448,476.44264342747437,476.50695904127826,530.6319052407313,548.2889065605968,577.4016713326341,763.1532211328537,777.7749506064089,0.06177031589194771,0.07085197721638993,0.07725997958198673,0.08514146685981822,0.09068413356202905,0.13195861536104345,0.14454643600403025
14,0,526.0227926349918,0.07684081099879266,606.3966677446593,455.9588902535695,496.0562957709627,481.45893667140285,505.11383629909665,753.2848276732237,683.2244788060012,0.06196365226619021,0.06360519149621097,0.06776626109328682,0.07101031117791207,0.07517437568425213,0.11750419592179316,0.12401480065092685
14,30,536.3715844659977,0.07676035774572684,541.2273718798905,463.57551826682055,520.6551204540123,466.38239485158994,483.84463394030627,813.0851628866736,726.5943412254569,0.06074586529692059,0.06449650267731415,0.06790557387578956,0.06978319392590214,0.07285490595949454,0.12066355759904805,0.12954608842746274
15,0,629.2886549258294,0.09437362122323134,533.9878153489244,563.5654568507689,605.190358208327,624.0759558387617,642.5647137576069,859.8744642616118,847.0708165776879,0.0707576212288422,0.08173142943203078,0.08720935130418488,0.09538804551423924,0.1025456151613325,0.1419797425789273,0.15635280000617982
15,30,648.2023476477549,0.09416355778919253,625.9928878152301,601.1152926763704,640.167210117884,647.2182855134154,627.3429085277209,838.912185992175,766.8441716404981,0.07702054331193578,0.08432165136904367,0.08794095443917598,0.09424544770590063,0.09650947515063077,0.12828167284948072,0.13530009814070193
16,0,553.7905837475962,0.07458673789830945,524.4163587246005,485.49827770365687,515.2629932244201,502.4273181416058,523.9984716699744,776.494100115263,662.2391592682444,0.05739274548224518,0.062398683943290234,0.06400385633898807,0.06933929710929641,0.07171510129797946,0.10071060989644445,0.1084463573356009
16,30,609.5249664288916,0.07696113902229676,729.5318655048371,561.4857331605872,586.6378786954207,599.9313261988699,584.4742954600429,731.4225492339862,625.5602188012973,0.06731254073574416,0.06800696180088728,0.06943075422117868,0.07537693558011196,0.0743623547833395,0.09132051059546153,0.09335515219825721
17,0,607.9807681621228,0.08314937956439915,519.3563612573915,531.9521989750131,575.603704156303,596.5124165491403,587.0815163092798,798.2412383001175,654.4066356462062,0.06370612451062245,0.07322736853718823,0.07588655394212547,0.08222304054383829,0.08197085415865425,0.10489605750205887,0.09770486932569969
17,30,595.6066489486184,0.0795834935328736,488.18506859057493,510.05369339332896,535.2163327012896,574.5766351919192,537.6635711432634,779.3406647972164,637.2377715375014,0.060551738519668524,0.068921182878261,0.07262660632310053,0.07914639711068375,0.07546810090493747,0.09427475374741211,0.08282183964374136
18,0,597.7169763524932,0.07919535247653313,667.4187857757582,536.0321127588531,542.2064500715712,564.6150110863231,580.8444429354,697.6533053864857,601.7806070226936,0.07299142296969088,0.07138732450106103,0.0742146993173139,0.07817224478738173,0.07491232100651571,0.08596165220850903,0.07760060508413091
18,30,627.2418708678853,0.0821009169301332,597.927498111083,582.0214834594257,561.0794434374338,650.2097494315921,653.6358201526292,709.0050690385785,647.4935831031664,0.06973667040463422,0.07734250900214017,0.0770937201191324,0.08946305819503134,0.08443356898354364,0.08905456566046756,0.08329344159073268
19,0,600.5078722618289,0.08130309335507363,643.5614946782716,540.8327377191158,542.1561845915998,550.1733204485855,585.121555999921,670.0921417105207,628.8805038800166,0.07496774563661716,0.07413880813643842,0.07521349048700754,0.08087632896259565,0.07842209750802341,0.0906720565013258,0.08247447804883172
19,30,550.534485856997,0.07146311971996457,471.2350199994678,503.4394981856284,494.23987855789875,557.127238183397,575.340615292716,604.9840303973034,496.30991865824984,0.058611965587971,0.06751699980319115,0.06796014895036065,0.07839012759524555,0.07402843929390075,0.0756515184973503,0.06292456518910113
20,0,486.9638761110227,0.06456682930779853,406.2005658362141,417.5560589044138,436.4517839003388,477.08966566897396,488.2649899947101,542.642974213928,468.1003628141917,0.05208032076108338,0.05822153139118509,0.059613184812124825,0.06967496701495725,0.06366457812464091,0.0691822900208828,0.061943593440033584
20,30,425.9651223353098,0.0556590760959807,342.74136321916933,317.8515990996334,325.15241741664266,357.06784160678194,360.3137339356882,535.37834814413,506.3482369082527,0.04189162249923539,0.04377356629497059,0.04582968468373298,0.05192904043146334,0.048009754943596,0.06695900216400641,0.06926722746557047
21,0,454.0359370939435,0.0679904266509678,473.6265615310977,395.07747633085626,399.27839592650764,415.3811186954265,440.15854848746915,504.9977740268016,443.26235508892785,0.05895983630871915,0.05940002271049298,0.061194480464164945,0.06896114182110397,0.06671620387792054,0.07368908377259564,0.06681624598916525
21,30,393.2160749947701,0.057923661332284444,352.9278217917564,339.06818611418856,351.97385234538956,365.9702452100928,392.02614820115593,436.6847270283487,404.442083042914,0.04873386676176239,0.05172652242225326,0.05488241932297903,0.06071447350857661,0.05747255390702291,0.06232877171662551,0.06017390387155696
22,0,363.63094984233373,0.056134033439077684,337.22374773176733,302.0535047131896,332.3966982815747,344.8970245202456,355.17977763837865,385.19221051150913,360.8542375149561,0.04867684987445017,0.04752678439969969,0.05378194304785013,0.05919694113367622,0.05434568923634999,0.05840421458257984,0.05591608713919597
22,30,350.8806212766113,0.059533355532490756,381.85610922887463,323.1555730869785,323.6068710827672,329.617044493779,340.9536386042579,386.9134849999285,443.609761313727,0.05507529939581296,0.0537928910083096,0.055534017018962795,0.061380172782325555,0.05815226943749778,0.06720828543630468,0.0761576621052137
23,0,332.92960793236625,0.05483275530401686,396.1601707929258,312.2156058198676,306.19272720815286,290.9099358554446,310.9658738839109,345.39852523849066,349.0448020454496,0.055997514793672445,0.04940333781209481,0.05104371579655608,0.053438412402145745,0.051869596765184496,0.0582584843244186,0.05918906360386859
23,30,275.5512051664307,0.04336221423918327,264.75288786071485,221.73782280996164,249.70388645816496,263.2069052996647,281.64849103574613,293.5606643699233,277.1681916823438,0.03737873518062231,0.03377262361073376,0.03949827548031089,0.04580810223835253,0.046601369121891535,0.048546631127817944,0.04577598206774206
